[2025-11-19 13:48:13] [FAIL] 002411.SZ | get_daily_bars | LocalCSVDataProvider | 数据文件不存在: C:\Users\123\A股数据\个股数据\002411.csv
[2025-11-19 13:48:14] [FAIL] 603555.SH | get_daily_bars | LocalCSVDataProvider | 数据文件不存在: C:\Users\123\A股数据\个股数据\603555.csv
[2025-11-19 13:48:16] [FAIL] 000616.SZ | get_daily_bars | LocalCSVDataProvider | 数据文件不存在: C:\Users\123\A股数据\个股数据\000616.csv
[2025-11-19 13:48:17] [FAIL] 000666.SZ | get_daily_bars | LocalCSVDataProvider | 数据文件不存在: C:\Users\123\A股数据\个股数据\000666.csv
[2025-11-19 13:48:17] [FAIL] 000667.SZ | get_daily_bars | LocalCSVDataProvider | 数据文件不存在: C:\Users\123\A股数据\个股数据\000667.csv
[2025-11-19 13:48:17] [FAIL] 000671.SZ | get_daily_bars | LocalCSVDataProvider | 数据文件不存在: C:\Users\123\A股数据\个股数据\000671.csv
[2025-11-19 13:48:19] [FAIL] 002002.SZ | get_daily_bars | LocalCSVDataProvider | 数据文件不存在: C:\Users\123\A股数据\个股数据\002002.csv
[2025-11-19 13:48:19] [FAIL] 002013.SZ | get_daily_bars | LocalCSVDataProvider | 数据文件不存在: C:\Users\123\A股数据\个股数据\002013.csv
[2025-11-19 13:48:20] [FAIL] 002433.SZ | get_daily_bars | LocalCSVDataProvider | 数据文件不存在: C:\Users\123\A股数据\个股数据\002433.csv
[2025-11-19 13:48:21] [FAIL] 002417.SZ | get_daily_bars | LocalCSVDataProvider | 数据文件不存在: C:\Users\123\A股数据\个股数据\002417.csv
[2025-11-19 13:48:21] [FAIL] 002435.SZ | get_daily_bars | LocalCSVDataProvider | 数据文件不存在: C:\Users\123\A股数据\个股数据\002435.csv
[2025-11-19 13:48:22] [FAIL] 300356.SZ | get_daily_bars | LocalCSVDataProvider | 数据文件不存在: C:\Users\123\A股数据\个股数据\300356.csv
[2025-11-19 13:48:23] [FAIL] 603133.SH | get_daily_bars | LocalCSVDataProvider | 数据文件不存在: C:\Users\123\A股数据\个股数据\603133.csv
[2025-11-19 13:48:26] [FAIL] 600766.SH | get_daily_bars | LocalCSVDataProvider | 数据文件不存在: C:\Users\123\A股数据\个股数据\600766.csv
[2025-11-19 13:48:26] [FAIL] 600767.SH | get_daily_bars | LocalCSVDataProvider | 数据文件不存在: C:\Users\123\A股数据\个股数据\600767.csv
[2025-11-19 13:48:26] [FAIL] 600781.SH | get_daily_bars | LocalCSVDataProvider | 数据文件不存在: C:\Users\123\A股数据\个股数据\600781.csv
[2025-11-19 13:48:41] [FAIL] 000982.SZ | get_daily_bars | LocalCSVDataProvider | 数据文件不存在: C:\Users\123\A股数据\个股数据\000982.csv
[2025-11-19 13:48:42] [FAIL] 000996.SZ | get_daily_bars | LocalCSVDataProvider | 数据文件不存在: C:\Users\123\A股数据\个股数据\000996.csv
[2025-11-19 13:48:44] [FAIL] 002113.SZ | get_daily_bars | LocalCSVDataProvider | 数据文件不存在: C:\Users\123\A股数据\个股数据\002113.csv
[2025-11-19 13:48:44] [FAIL] 002118.SZ | get_daily_bars | LocalCSVDataProvider | 数据文件不存在: C:\Users\123\A股数据\个股数据\002118.csv
[2025-11-19 13:48:45] [FAIL] 300495.SZ | get_daily_bars | LocalCSVDataProvider | 数据文件不存在: C:\Users\123\A股数据\个股数据\300495.csv
[2025-11-19 13:48:46] [FAIL] 300526.SZ | get_daily_bars | LocalCSVDataProvider | 数据文件不存在: C:\Users\123\A股数据\个股数据\300526.csv
[2025-11-19 13:48:47] [FAIL] 600077.SH | get_daily_bars | LocalCSVDataProvider | 数据文件不存在: C:\Users\123\A股数据\个股数据\600077.csv
[2025-11-19 13:48:48] [FAIL] 600112.SH | get_daily_bars | LocalCSVDataProvider | 数据文件不存在: C:\Users\123\A股数据\个股数据\600112.csv
[2025-11-19 13:48:51] [FAIL] 601258.SH | get_daily_bars | LocalCSVDataProvider | 数据文件不存在: C:\Users\123\A股数据\个股数据\601258.csv
[2025-11-19 13:48:52] [FAIL] 300392.SZ | get_daily_bars | LocalCSVDataProvider | 数据文件不存在: C:\Users\123\A股数据\个股数据\300392.csv
[2025-11-19 13:48:53] [FAIL] 600122.SH | get_daily_bars | LocalCSVDataProvider | 数据文件不存在: C:\Users\123\A股数据\个股数据\600122.csv
[2025-11-19 13:48:53] [FAIL] 600139.SH | get_daily_bars | LocalCSVDataProvider | 数据文件不存在: C:\Users\123\A股数据\个股数据\600139.csv
[2025-11-19 13:48:55] [FAIL] 688086.SH | get_daily_bars | LocalCSVDataProvider | 数据文件不存在: C:\Users\123\A股数据\个股数据\688086.csv
[2025-11-19 13:48:57] [FAIL] 300282.SZ | get_daily_bars | LocalCSVDataProvider | 数据文件不存在: C:\Users\123\A股数据\个股数据\300282.csv
[2025-11-19 13:48:58] [FAIL] 002751.SZ | get_daily_bars | LocalCSVDataProvider | 数据文件不存在: C:\Users\123\A股数据\个股数据\002751.csv
[2025-11-19 13:49:01] [FAIL] 600213.SH | get_daily_bars | LocalCSVDataProvider | 数据文件不存在: C:\Users\123\A股数据\个股数据\600213.csv
[2025-11-19 13:49:02] [FAIL] 600220.SH | get_daily_bars | LocalCSVDataProvider | 数据文件不存在: C:\Users\123\A股数据\个股数据\600220.csv
[2025-11-19 13:49:05] [FAIL] 603603.SH | get_daily_bars | LocalCSVDataProvider | 数据文件不存在: C:\Users\123\A股数据\个股数据\603603.csv
[2025-11-19 13:49:05] [FAIL] 300799.SZ | get_daily_bars | LocalCSVDataProvider | 数据文件不存在: C:\Users\123\A股数据\个股数据\300799.csv
[2025-11-19 13:49:05] [FAIL] 300742.SZ | get_daily_bars | LocalCSVDataProvider | 数据文件不存在: C:\Users\123\A股数据\个股数据\300742.csv
[2025-11-19 13:49:07] [FAIL] 600242.SH | get_daily_bars | LocalCSVDataProvider | 数据文件不存在: C:\Users\123\A股数据\个股数据\600242.csv
[2025-11-19 13:49:07] [FAIL] 600260.SH | get_daily_bars | LocalCSVDataProvider | 数据文件不存在: C:\Users\123\A股数据\个股数据\600260.csv
[2025-11-19 13:49:07] [FAIL] 600277.SH | get_daily_bars | LocalCSVDataProvider | 数据文件不存在: C:\Users\123\A股数据\个股数据\600277.csv
[2025-11-19 13:49:10] [FAIL] 002610.SZ | get_daily_bars | LocalCSVDataProvider | 数据文件不存在: C:\Users\123\A股数据\个股数据\002610.csv
[2025-11-19 13:49:10] [FAIL] 300273.SZ | get_daily_bars | LocalCSVDataProvider | 数据文件不存在: C:\Users\123\A股数据\个股数据\300273.csv
[2025-11-19 13:49:12] [FAIL] 000005.SZ | get_daily_bars | LocalCSVDataProvider | 数据文件不存在: C:\Users\123\A股数据\个股数据\000005.csv
[2025-11-19 13:49:12] [FAIL] 600290.SH | get_daily_bars | LocalCSVDataProvider | 数据文件不存在: C:\Users\123\A股数据\个股数据\600290.csv
[2025-11-19 13:49:12] [FAIL] 600297.SH | get_daily_bars | LocalCSVDataProvider | 数据文件不存在: C:\Users\123\A股数据\个股数据\600297.csv
